instance,n,u,procs,elapsed
n_026_u_520_12,26,5.2,12,8.04099999999926
n_043_u_860_9,43,8.6,22,18.6239999999998
n_032_u_640_10,32,6.4,16,11.969000000001
n_036_u_720_9,36,7.2,17,12.6820000000007
n_031_u_620_13,31,6.2,14,9.70800000000054
n_035_u_700_9,35,7,17,13.0930000000008
n_016_u_320_10,16,3.2,7,3.10000000000036
n_009_u_180_11,9,1.8,5,1.3119999999999
n_010_u_200_11,10,2,6,1.38500000000022
n_027_u_540_12,27,5.4,15,9.05299999999988
n_042_u_840_8,42,8.4,20,22.4290000000001
n_033_u_660_12,33,6.6,16,11.7200000000012
n_037_u_740_10,37,7.4,18,16.3649999999998
n_040_u_800_10,40,8,20,15.9300000000003
n_017_u_340_9,17,3.4,9,4.07400000000052
n_050_u_1000_10,50,10,22,26.8809999999994
n_023_u_459_11,23,4.6,11,5.04900000000089
n_007_u_140_12,7,1.4,4,0.853000000000975
n_009_u_180_10,9,1.8,5,1.54500000000007
n_017_u_340_10,17,3.4,10,3.69500000000153
n_019_u_380_13,19,3.8,9,4.19100000000071
n_021_u_420_10,21,4.2,9,6.18399999999929
n_028_u_560_12,28,5.6,13,8.10599999999977
n_029_u_580_10,29,5.8,15,9.01100000000042
n_028_u_560_10,28,5.6,14,8.35900000000038
n_027_u_540_11,27,5.4,13,8.32500000000073
n_033_u_660_13,33,6.6,15,10.5789999999997
n_019_u_380_10,19,3.8,10,5.33699999999953
n_021_u_420_12,21,4.2,11,5.59000000000015
n_032_u_640_12,32,6.4,16,14.1739999999991
n_024_u_480_13,24,4.8,12,7.03299999999945
n_049_u_980_9,49,9.8,23,27.8369999999995
n_042_u_840_7,42,8.4,22,24.6570000000011
n_050_u_1000_9,50,10,24,25.0879999999997
n_048_u_960_8,48,9.6,23,28.3829999999998
n_017_u_340_12,17,3.4,8,3.85299999999916
n_037_u_740_12,37,7.4,17,16.0829999999987
n_038_u_760_13,38,7.6,19,15.9050000000007
n_038_u_760_10,38,7.6,22,21.8550000000014
n_027_u_540_10,27,5.4,13,9.74299999999857
