instance,n,u,procs
n_018_u_140_21,18,"1,4",7
n_006_u_160_25,6,"1,6",8
n_024_u_080_26,24,"0,8",4
n_012_u_060_26,12,"0,6",4
n_012_u_140_23,12,"1,4",7
n_012_u_140_25,12,"1,4",5
n_024_u_100_24,24,1,5
n_006_u_080_23,6,"0,8",3
n_006_u_140_25,6,"1,4",6
n_024_u_060_21,24,"0,6",4
n_018_u_140_19,18,"1,4",7
n_012_u_080_20,12,"0,8",6
n_012_u_100_22,12,1,4
n_024_u_140_24,24,"1,4",8
n_006_u_080_26,6,"0,8",4
n_006_u_040_27,6,"0,4",4
n_006_u_040_26,6,"0,4",3
n_006_u_160_24,6,"1,6",7
n_012_u_120_19,12,"1,2",6
n_024_u_100_26,24,1,5
n_006_u_040_28,6,"0,4",3
n_024_u_140_23,24,"1,4",7
