instance,n,u,procs,elapsed
n_047_u_940_9,47,9.4,14,478.055
n_032_u_640_9,32,6.4,10,307.005
n_041_u_819_9,41,8.2,13,395.019
n_049_u_980_9,49,9.8,15,403.497
n_027_u_540_9,27,5.4,8,173.345
n_033_u_660_9,33,6.6,10,202.222
n_048_u_960_8,48,9.6,15,493.089
n_034_u_680_9,34,6.8,11,278.984
n_024_u_480_12,24,4.8,9,124.188
n_007_u_140_9,7,1.4,4,16.4079999999999
n_050_u_1000_7,50,10,15,445.488
n_009_u_180_9,9,1.8,4,22.0329999999999
n_008_u_160_11,8,1.6,4,19.9359999999999
n_043_u_860_6,43,8.6,13,406.462
n_013_u_260_10,13,2.6,5,51.395
n_035_u_700_9,35,7,12,291.355
n_044_u_880_10,44,8.8,13,346.119
n_021_u_420_10,21,4.2,6,129.442
n_047_u_940_8,47,9.4,14,534.773
n_014_u_280_11,14,2.8,5,51.2660000000001
n_010_u_200_8,10,2,4,29.3430000000001
n_016_u_320_9,16,3.2,6,77.203
n_029_u_580_9,29,5.8,11,164.186
n_011_u_220_12,11,2.2,4,33.817
n_015_u_300_10,15,3,5,60.4469999999999
n_016_u_320_11,16,3.2,5,64.4070000000002
n_018_u_360_13,18,3.6,7,83.049
n_049_u_980_8,49,9.8,16,482.935
n_033_u_660_10,33,6.6,11,234.972
n_022_u_440_11,22,4.4,7,129.936
n_026_u_520_12,26,5.2,8,148.742
n_021_u_420_9,21,4.2,7,104.938
n_021_u_420_11,21,4.2,9,96.3899999999999
n_040_u_800_9,40,8,12,384.242
n_037_u_740_11,37,7.4,12,326.604
n_017_u_340_9,17,3.4,7,89.298
n_031_u_620_13,31,6.2,10,188.391
n_014_u_280_10,14,2.8,5,62.7569999999998
n_032_u_640_12,32,6.4,11,272.547
n_048_u_960_7,48,9.6,16,634.656
n_043_u_860_8,43,8.6,15,392.482
n_042_u_840_9,42,8.4,13,412.716
n_031_u_620_12,31,6.2,10,224.767
n_021_u_420_12,21,4.2,7,93.6189999999999
n_032_u_640_10,32,6.4,10,209.919
n_007_u_140_11,7,1.4,3,21.0440000000001
n_020_u_400_10,20,4,6,107.452
n_038_u_760_11,38,7.6,12,305.936
n_037_u_740_12,37,7.4,11,256.434
n_030_u_600_9,30,6,9,179.68
n_005_u_100_13,5,1,3,16.5720000000001
n_010_u_200_10,10,2,4,30.0160000000001
n_022_u_440_10,22,4.4,7,121.924
n_016_u_320_10,16,3.2,5,68.5130000000001
n_027_u_540_10,27,5.4,8,150.508
n_009_u_180_11,9,1.8,4,32.508
n_050_u_1000_10,50,10,15,445.825
n_028_u_560_12,28,5.6,9,196.404
n_043_u_860_7,43,8.6,14,478.539
n_026_u_520_11,26,5.2,9,150.374
n_015_u_300_9,15,3,6,71.171
n_024_u_480_13,24,4.8,7,117.374
n_032_u_640_13,32,6.4,10,229.409
n_043_u_860_9,43,8.6,14,411.505
n_023_u_459_9,23,4.6,9,139.332
n_044_u_880_11,44,8.8,13,332.175
n_010_u_200_9,10,2,4,39.597
n_017_u_340_12,17,3.4,6,68.0709999999999
n_020_u_400_12,20,4,7,96.8249999999998
n_027_u_540_12,27,5.4,9,167.417
n_010_u_200_11,10,2,4,27.05
n_018_u_360_14,18,3.6,6,83.941
n_039_u_780_11,39,7.8,12,335.529
n_011_u_220_13,11,2.2,4,34.5630000000001
n_039_u_780_10,39,7.8,13,413.461
n_029_u_580_12,29,5.8,9,173.354
n_006_u_120_13,6,1.2,3,15.654
n_033_u_660_12,33,6.6,10,248.62
n_023_u_459_11,23,4.6,7,103.672
n_028_u_560_11,28,5.6,9,180.689
n_038_u_760_13,38,7.6,12,346.076
n_050_u_1000_8,50,10,16,555.368
n_006_u_120_12,6,1.2,3,17.2629999999999
n_037_u_740_13,37,7.4,11,251.386
n_005_u_100_15,5,1,3,16.7080000000001
n_030_u_600_10,30,6,9,171.465
n_031_u_620_14,31,6.2,10,204.402
n_035_u_700_10,35,7,12,308.11
n_022_u_440_12,22,4.4,7,142.884
n_027_u_540_11,27,5.4,10,187.074
n_034_u_680_11,34,6.8,11,256.512
n_038_u_760_12,38,7.6,12,305.333
n_029_u_580_10,29,5.8,9,248.784
n_041_u_819_10,41,8.2,13,335.44
n_005_u_100_14,5,1,3,19.2840000000001
n_034_u_680_13,34,6.8,10,206.833
n_023_u_459_12,23,4.6,7,103.198
n_017_u_340_10,17,3.4,6,72.7349999999999
n_034_u_680_12,34,6.8,11,245.855
n_008_u_160_12,8,1.6,4,22.2719999999999
n_018_u_360_16,18,3.6,7,78.1510000000001
n_024_u_480_14,24,4.8,8,112.614
n_019_u_380_13,19,3.8,7,86.672
n_023_u_459_10,23,4.6,8,143.281
n_019_u_380_14,19,3.8,8,103.876
n_029_u_580_11,29,5.8,9,210.754
n_050_u_1000_9,50,10,16,551.864
n_035_u_700_12,35,7,11,284.446
n_040_u_800_10,40,8,13,369.548
n_028_u_560_10,28,5.6,8,201.583
n_045_u_900_12,45,9,14,416.887
n_035_u_700_11,35,7,11,246.844
n_033_u_660_11,33,6.6,10,267.379
n_044_u_880_12,44,8.8,15,396.207
n_030_u_600_13,30,6,9,176.445
n_018_u_360_15,18,3.6,7,74.6769999999999
n_042_u_840_10,42,8.4,13,331.08
n_007_u_140_12,7,1.4,3,22.895
n_039_u_780_13,39,7.8,12,307.345
n_046_u_920_10,46,9.2,14,406.604
n_006_u_120_15,6,1.2,3,13.6680000000001
n_009_u_180_12,9,1.8,4,31.6400000000001
n_011_u_220_14,11,2.2,5,38.4440000000002
n_049_u_980_10,49,9.8,15,507.612
n_012_u_240_14,12,2.4,5,47.998
n_017_u_340_11,17,3.4,6,75.395
n_044_u_880_14,44,8.8,13,332.864
n_031_u_620_15,31,6.2,10,214.264
n_033_u_660_13,33,6.6,11,225.482
n_045_u_900_10,45,9,14,443.364
n_034_u_680_10,34,6.8,11,364.047
n_021_u_420_13,21,4.2,7,116.834
n_047_u_940_10,47,9.4,16,450.157
n_013_u_260_12,13,2.6,5,55.2949999999998
n_040_u_800_11,40,8,12,321.477
n_011_u_220_16,11,2.2,4,31.9749999999999
n_036_u_720_12,36,7.2,12,226.196
n_044_u_880_13,44,8.8,14,358.316
n_037_u_740_14,37,7.4,12,290.053
n_007_u_140_13,7,1.4,4,17.46
n_043_u_860_10,43,8.6,13,344.294
n_012_u_240_12,12,2.4,4,40.5020000000002
n_045_u_900_11,45,9,14,364.036
n_036_u_720_10,36,7.2,11,293.18
n_020_u_400_13,20,4,8,101.168
n_019_u_380_16,19,3.8,6,87.0119999999999
n_014_u_280_12,14,2.8,5,40.885
n_016_u_320_12,16,3.2,5,72.0440000000001
n_010_u_200_12,10,2,4,23.97
n_011_u_220_15,11,2.2,4,37.316
n_040_u_800_13,40,8,12,305.086
n_045_u_900_13,45,9,15,416.606
n_012_u_240_13,12,2.4,5,41.2239999999999
n_048_u_960_10,48,9.6,15,497.3
n_030_u_600_11,30,6,9,201.121
n_050_u_1000_11,50,10,16,563.975
n_022_u_440_13,22,4.4,8,107.646
