instance,n,u,procs,elapsed,passive
n_034_u_680_11,34,6.8,16,0.22,28
n_014_u_280_11,14,2.8,7,0.0460000000000003,12
n_035_u_700_9,35,7,18,0.261,29
n_037_u_740_11,37,7.4,21,0.279,28
n_027_u_540_10,27,5.4,13,0.162,21
n_037_u_740_12,37,7.4,19,0.221,31
n_042_u_840_8,42,8.4,22,0.315,33
n_028_u_560_11,28,5.6,14,0.141,23
n_032_u_640_11,32,6.4,18,0.195,27
n_017_u_340_11,17,3.4,9,0.0539999999999998,14
n_050_u_1000_10,50,10,23,0.457,40
n_021_u_420_11,21,4.2,12,0.1,14
n_050_u_1000_11,50,10,27,0.393,39
n_029_u_580_9,29,5.8,16,0.173,24
n_040_u_800_10,40,8,20,0.28,33
n_034_u_680_9,34,6.8,19,0.257,27
n_044_u_880_10,44,8.8,24,0.325,38
n_021_u_420_12,21,4.2,11,0.0960000000000001,16
n_032_u_640_12,32,6.4,17,0.204,26
n_026_u_520_11,26,5.2,14,0.126,20
n_009_u_180_10,9,1.8,5,0.0249999999999999,7
n_031_u_620_13,31,6.2,15,0.209,24
n_022_u_440_10,22,4.4,12,0.097,19
n_023_u_459_11,23,4.6,11,0.111,19
n_007_u_140_12,7,1.4,4,0.016,5
n_039_u_780_10,39,7.8,18,0.25,32
n_042_u_840_11,42,8.4,21,0.235,34
n_011_u_220_12,11,2.2,6,0.0290000000000004,10
n_038_u_760_10,38,7.6,21,0.3,31
n_006_u_120_12,6,1.2,4,0.0129999999999999,5
n_037_u_740_13,37,7.4,18,0.244,31
n_035_u_700_10,35,7,18,0.202,29
n_050_u_1000_8,50,10,25,0.423,41
n_033_u_660_13,33,6.6,16,0.186,29
n_005_u_100_12,5,1,3,0.0100000000000002,4
n_023_u_459_10,23,4.6,12,0.102,19
n_033_u_660_12,33,6.6,18,0.203,26
n_009_u_180_13,9,1.8,5,0.0209999999999999,8
n_017_u_340_13,17,3.4,10,0.0589999999999997,13
n_026_u_520_12,26,5.2,13,0.137,22
n_017_u_340_12,17,3.4,8,0.0649999999999999,15
n_034_u_680_10,34,6.8,17,0.184,29
n_030_u_600_9,30,6,14,0.203,24
n_041_u_819_13,41,8.2,22,0.242,35
n_028_u_560_10,28,5.6,16,0.18,20
n_049_u_980_9,49,9.8,24,0.474,39
n_022_u_440_12,22,4.4,12,0.112,19
n_008_u_160_15,8,1.6,5,0.0129999999999999,7
n_045_u_900_10,45,9,20,0.381,36
n_033_u_660_11,33,6.6,16,0.187,28
n_043_u_860_9,43,8.6,24,0.342,34
n_038_u_760_11,38,7.6,19,0.249,32
n_029_u_580_11,29,5.8,16,0.135,24
n_022_u_440_11,22,4.4,11,0.097,19
n_005_u_100_13,5,1,3,0.0109999999999997,3
n_018_u_360_13,18,3.6,9,0.0670000000000002,15
n_019_u_380_13,19,3.8,11,0.0780000000000003,16
n_020_u_400_13,20,4,13,0.0949999999999998,15
n_038_u_760_13,38,7.6,21,0.262,30
n_012_u_240_12,12,2.4,7,0.0329999999999999,10
n_017_u_340_10,17,3.4,9,0.0789999999999997,13
n_010_u_200_11,10,2,6,0.0269999999999997,9
n_044_u_880_12,44,8.8,25,0.381,33
n_016_u_320_11,16,3.2,9,0.0499999999999998,15
n_005_u_100_15,5,1,3,0.012,4
n_030_u_600_12,30,6,16,0.144,23
n_027_u_540_12,27,5.4,14,0.168,22
n_038_u_760_12,38,7.6,21,0.309,30
n_022_u_440_14,22,4.4,11,0.101,18
n_043_u_860_11,43,8.6,22,0.293,35
n_005_u_100_14,5,1,3,0.0089999999999999,3
n_045_u_900_11,45,9,23,0.359,37
n_021_u_420_16,21,4.2,12,0.0710000000000002,18
n_024_u_480_13,24,4.8,13,0.127,20
n_011_u_220_14,11,2.2,6,0.0309999999999997,8
n_010_u_200_13,10,2,6,0.0210000000000004,9
n_018_u_360_14,18,3.6,11,0.0680000000000001,15
n_034_u_680_12,34,6.8,17,0.189,28
n_012_u_240_13,12,2.4,6,0.0349999999999997,10
n_018_u_360_16,18,3.6,9,0.0619999999999998,16
n_041_u_819_10,41,8.2,21,0.294,35
n_046_u_920_10,46,9.2,22,0.357,41
n_030_u_600_14,30,6,17,0.164,24
n_008_u_160_12,8,1.6,5,0.02,7
n_018_u_360_15,18,3.6,9,0.0790000000000002,15
n_034_u_680_13,34,6.8,17,0.234,28
n_025_u_500_13,25,5,14,0.122,19
n_023_u_459_12,23,4.6,11,0.12,20
n_045_u_900_14,45,9,24,0.351,36
n_044_u_880_11,44,8.8,21,0.365,38
n_030_u_600_13,30,6,16,0.192,25
n_049_u_980_11,49,9.8,24,0.4,39
n_044_u_880_13,44,8.8,23,0.387,37
n_036_u_720_12,36,7.2,17,0.241,28
n_013_u_260_12,13,2.6,9,0.044,11
n_035_u_700_11,35,7,18,0.254,29
n_036_u_720_11,36,7.2,19,0.223,31
n_024_u_480_15,24,4.8,12,0.114,18
n_011_u_220_13,11,2.2,8,0.0290000000000004,8
n_023_u_459_14,23,4.6,13,0.105,15
n_012_u_240_16,12,2.4,6,0.036,9
n_029_u_580_12,29,5.8,18,0.162,22
n_040_u_800_12,40,8,21,0.338,30
